12.23,19.56,78.54
17.54,19.32,115.1
23.29,26.67,158.9
13.81,23.75,91.56
12.47,18.6,81.09
15.12,16.68,98.78
9.876,17.27,62.92
17.01,20.26,109.7
13.11,22.54,87.02
15.27,12.91,98.17
20.58,22.14,134.7
11.84,18.94,75.51
28.11,18.47,188.5
17.42,25.56,114.5
14.19,23.81,92.87
13.86,16.93,90.96
11.89,18.35,77.32
10.2,17.48,65.05
19.8,21.56,129.7
19.53,32.47,128
13.65,13.16,87.88
13.56,13.9,88.59
10.18,17.53,65.12
15.75,20.25,102.6
13.27,17.02,84.55
14.34,13.47,92.51
10.44,15.46,66.62
15,15.51,97.45
12.62,23.97,81.35
12.83,22.33,85.26
17.05,19.08,113.4
11.32,27.08,71.76
11.22,33.81,70.79
20.51,27.81,134.4
9.567,15.91,60.21
14.03,21.25,89.79
23.21,26.97,153.5
20.48,21.46,132.5
14.22,27.85,92.55
17.46,39.28,113.4
13.64,15.6,87.38
12.42,15.04,78.61
11.3,18.19,73.93
13.75,23.77,88.54
19.4,23.5,129.1
10.48,19.86,66.72
13.2,17.43,84.13
12.89,14.11,84.95
10.65,25.22,68.01
11.52,14.93,73.87
20.94,23.56,138.9
11.5,18.45,73.28
19.73,19.82,130.7
17.3,17.08,113
19.45,19.33,126.5
13.96,17.05,91.43
19.55,28.77,133.6
15.32,17.27,103.2
15.66,23.2,110.2
15.53,33.56,103.7
20.31,27.06,132.9
17.35,23.06,111
17.29,22.13,114.4
15.61,19.38,100
17.19,22.07,111.6
20.73,31.12,135.7
10.6,18.95,69.28
13.59,21.84,87.16
12.87,16.21,82.38
10.71,20.39,69.5
14.29,16.82,90.3
11.29,13.04,72.23
21.75,20.99,147.3
9.742,15.67,61.5
17.93,24.48,115.2
11.89,17.36,76.2
11.33,14.16,71.79
18.81,19.98,120.9
13.59,17.84,86.24
13.85,15.18,88.99
19.16,26.6,126.2
11.74,14.02,74.24
19.4,18.18,127.2
16.24,18.77,108.8
12.89,15.7,84.08
12.58,18.4,79.83
11.94,20.76,77.87
12.89,13.12,81.89
11.26,19.96,73.72
11.37,18.89,72.17
14.41,19.73,96.03
14.96,19.1,97.03
12.95,16.02,83.14
11.85,17.46,75.54
12.72,13.78,81.78
13.77,13.27,88.06
10.91,12.35,69.14
11.76,18.14,75
14.26,18.17,91.22
10.51,23.09,66.85
19.53,18.9,129.5
12.46,19.89,80.43
20.09,23.86,134.7
10.49,18.61,66.86
11.46,18.16,73.59
11.6,24.49,74.23
13.2,15.82,84.07
9,14.4,56.36
13.5,12.71,85.69
13.05,13.84,82.71
11.7,19.11,74.33
14.61,15.69,92.68
12.76,13.37,82.29
11.54,10.72,73.73
8.597,18.6,54.09
12.49,16.85,79.19
12.18,14.08,77.25
18.22,18.87,118.7
9.042,18.9,60.07
12.43,17,78.6
10.25,16.18,66.52
20.16,19.66,131.1
12.86,13.32,82.82
20.34,21.51,135.9
12.2,15.21,78.01
12.67,17.3,81.25
14.11,12.88,90.03
12.03,17.93,76.09
16.27,20.71,106.9
16.26,21.88,107.5
16.03,15.51,105.8
12.98,19.35,84.52
11.22,19.86,71.94
11.25,14.78,71.38
12.3,19.02,77.88
17.06,21,111.8
12.99,14.23,84.08
18.77,21.43,122.9
10.05,17.53,64.41
23.51,24.27,155.1
14.42,16.54,94.15
9.606,16.84,61.64
11.06,14.96,71.49
19.68,21.68,129.9
11.71,15.45,75.03
10.26,14.71,66.2
12.06,18.9,76.66
14.76,14.74,94.87
11.47,16.03,73.02
11.95,14.96,77.23
11.66,17.07,73.7
15.75,19.22,107.1
25.73,17.46,174.2
15.08,25.74,98
11.14,14.07,71.24
12.56,19.07,81.92
13.05,18.59,85.09
13.87,16.21,88.52
8.878,15.49,56.74
9.436,18.32,59.82
12.54,18.07,79.42
13.3,21.57,85.24
12.76,18.84,81.87
16.5,18.29,106.6
13.4,16.95,85.48
20.44,21.78,133.8
20.2,26.83,133.7
12.21,18.02,78.31
21.71,17.25,140.9
22.01,21.9,147.2
16.35,23.29,109
15.19,13.21,97.65
21.37,15.1,141.3
20.64,17.35,134.8
13.69,16.07,87.84
16.17,16.07,106.3
10.57,20.22,70.15
13.46,28.21,85.89
13.66,15.15,88.27
11.08,18.83,73.3
11.27,12.96,73.16
11.04,14.93,70.67
12.05,22.72,78.75
12.39,17.48,80.64
13.28,13.72,85.79
14.6,23.29,93.97
12.21,14.09,78.78
13.88,16.16,88.37
11.27,15.5,73.38
19.55,23.21,128.9
10.26,12.22,65.75
8.734,16.84,55.27
15.49,19.97,102.4
21.61,22.28,144.4
12.1,17.72,78.07
14.06,17.18,89.75
13.51,18.89,88.1
12.8,17.46,83.05
11.06,14.83,70.31
